grade,faculty,department,price,purpose1,purpose2,purpose3,freaquency,gender,class label
นักศึกษาชั้นปีที่ 2,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,"มากกว่า 30,000 บาท",เขียนโปรแกรม,ตัดต่อวิดิโอ,เล่นเกม,3-5วัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 2,คณะวิศวกรรมศาสตร์,วิศวกรรมเคมี,"10,001 - 15,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),เล่นเกม,3-5วัน,ชาย,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,วิทยาลัยนาโนเทคโนโลยีพระจอมเกล้าลาดกระบัง,นาโนวิทยาและนาโนเทคโนโลยี,"5,001 - 10,000 บาท",สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),การศึกษา,เล่นเกม,ทุกวัน,ชาย,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิศวกรรมศาสตร์,วิศวกรรมโทรคมนาคม,"15,001 - 20,000 บาท",การศึกษา,เล่นเกม,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"มากกว่า 30,000 บาท",การศึกษา,"เขียนเเบบ , ออกแบบแผนผังต่าง ๆ",เขียนโปรแกรม,ทุกวัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 2,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"มากกว่า 30,000 บาท",เขียนโปรแกรม,การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),1-2วัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 2,คณะอุตสาหกรรมอาหาร,เทคโนโลยีการหมักในอุตสาหกรรมอาหาร,"15,001 - 20,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),วาดรูป,3-5วัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 1,คณะบริหารธุรกิจ,บริหารธุรกิจ,"15,001 - 20,000 บาท",การศึกษา,วาดรูป,เล่นเกม,3-5วัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 2,คณะอุตสาหกรรมอาหาร,เทคโนโลยีการหมักในอุตสาหกรรมอาหาร,"15,001 - 20,000 บาท",การศึกษา,วาดรูป,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),3-5วัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิศวกรรมศาสตร์,วิศวกรรมการวัดและควบคุม,"20,001 - 25,000 บาท",การศึกษา,เล่นเกม,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),3-5วัน,ชาย,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 1,คณะวิทยาศาสตร์,คณิตศาสตร์,"25,001 - 30,000 บาท",การศึกษา,การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),3-5วัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"20,001 - 25,000 บาท",การศึกษา,เขียนโปรแกรม,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),3-5วัน,LGBT+,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"20,001 - 25,000 บาท",เล่นเกม,เขียนโปรแกรม,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),1-2วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"15,001 - 20,000 บาท",การศึกษา,เล่นเกม,เขียนโปรแกรม,ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 2,คณะวิศวกรรมศาสตร์,วิศวกรรมอิเล็กทรอนิกส์,"25,001 - 30,000 บาท",การศึกษา,"เขียนเเบบ , ออกแบบแผนผังต่าง ๆ",ตัดต่อวิดิโอ,ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 2,คณะศิลปศาสตร์,ภาษา,"มากกว่า 30,000 บาท",การศึกษา,เล่นเกม,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ไม่พกพาเลย,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"20,001 - 25,000 บาท",การศึกษา,เขียนโปรแกรม,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),3-5วัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,สถิติ,"15,001 - 20,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),เล่นเกม,ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 2,คณะเทคโนโลยีการเกษตร,เทคนิคเกษตร,"10,001 - 15,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),เล่นเกม,3-5วัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 4,คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี,ครุศาสตร์สถาปัตยกรรม,"25,001 - 30,000 บาท",เขียนโปรแกรม,การศึกษา,"เขียนเเบบ , ออกแบบแผนผังต่าง ๆ",3-5วัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 2,คณะวิศวกรรมศาสตร์,วิศวกรรมอิเล็กทรอนิกส์,"มากกว่า 30,000 บาท","เขียนเเบบ , ออกแบบแผนผังต่าง ๆ",การศึกษา,เล่นเกม,1-2วัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"25,001 - 30,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),เล่นเกม,ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"มากกว่า 30,000 บาท",เล่นเกม,เล่นเกม,เล่นเกม,ทุกวัน,LGBT+,Laptop (Notebook)
นักศึกษาชั้นปีที่ 4,คณะวิศวกรรมศาสตร์,วิศวกรรมโทรคมนาคม,"มากกว่า 30,000 บาท",เขียนโปรแกรม,เล่นเกม,การศึกษา,ทุกวัน,LGBT+,Laptop (Notebook)
นักศึกษาชั้นปีที่ 4,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"20,001 - 25,000 บาท",เขียนโปรแกรม,เล่นเกม,ตัดต่อวิดิโอ,3-5วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,เคมี,"15,001 - 20,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),เล่นเกม,3-5วัน,ชาย,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,เคมี,"10,001 - 15,000 บาท",การศึกษา,เล่นเกม,วาดรูป,ทุกวัน,ชาย,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,เคมี,"15,001 - 20,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),เล่นเกม,3-5วัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,เคมี,"25,001 - 30,000 บาท",การศึกษา,"เขียนเเบบ , ออกแบบแผนผังต่าง ๆ",สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),3-5วัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิศวกรรมศาสตร์,วิศวกรรมอาหาร,"15,001 - 20,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),เล่นเกม,ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิศวกรรมศาสตร์,วิศวกรรมอาหาร,"มากกว่า 30,000 บาท","เขียนเเบบ , ออกแบบแผนผังต่าง ๆ",เล่นเกม,เขียนโปรแกรม,1-2วัน,ชาย,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิศวกรรมศาสตร์,วิศวกรรมอาหาร,"15,001 - 20,000 บาท",การศึกษา,เขียนโปรแกรม,"เขียนเเบบ , ออกแบบแผนผังต่าง ๆ",3-5วัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะสถาปัตยกรรมศาสตร์,นิเทศศิลป์,"20,001 - 25,000 บาท",ตัดต่อวิดิโอ,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),การศึกษา,1-2วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,คณิตศาสตร์,"มากกว่า 30,000 บาท",การศึกษา,เขียนโปรแกรม,ทำเพลง,ไม่พกพาเลย,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะอุตสาหกรรมอาหาร,เทคโนโลยีการหมักในอุตสาหกรรมอาหาร,"15,001 - 20,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),วาดรูป,1-2วัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,คณิตศาสตร์,"10,001 - 15,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),วาดรูป,3-5วัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 4,คณะเทคโนโลยีสารสนเทศ,วิศวะซอฟต์เเวร์,"มากกว่า 30,000 บาท",เขียนโปรแกรม,ตัดต่อวิดิโอ,การศึกษา,3-5วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,คณิตศาสตร์,"20,001 - 25,000 บาท",การศึกษา,เขียนโปรแกรม,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),1-2วัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 4,คณะเทคโนโลยีการเกษตร,วิทยาศาสตร์การประมง,"15,001 - 20,000 บาท",เล่นเกม,การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),1-2วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 4,คณะวิศวกรรมศาสตร์,วิศวกรรมอิเล็กทรอนิกส์,"20,001 - 25,000 บาท",เล่นเกม,เขียนโปรแกรม,การศึกษา,ทุกวัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,คณิตศาสตร์,"15,001 - 20,000 บาท",การศึกษา,เขียนโปรแกรม,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,คณิตศาสตร์,"15,001 - 20,000 บาท",เล่นเกม,การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),1-2วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,คณิตศาสตร์,"20,001 - 25,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),"เขียนเเบบ , ออกแบบแผนผังต่าง ๆ",ไม่พกพาเลย,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,"15,001 - 20,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),เล่นเกม,ทุกวัน,ชาย,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,ฟิสิกส์,"20,001 - 25,000 บาท",เล่นเกม,การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ทุกวัน,ชาย,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 2,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"25,001 - 30,000 บาท",เล่นเกม,เขียนโปรแกรม,ตัดต่อวิดิโอ,1-2วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,คณิตศาสตร์,"15,001 - 20,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),เล่นเกม,ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 2,คณะวิทยาศาสตร์,ฟิสิกส์,"15,001 - 20,000 บาท",การศึกษา,"เขียนเเบบ , ออกแบบแผนผังต่าง ๆ",ตัดต่อวิดิโอ,ไม่พกพาเลย,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 2,คณะบริหารธุรกิจ,เศรษฐศาสตร์ธุรกิจและการจัดการ,"10,001 - 15,000 บาท",การศึกษา,เล่นเกม,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 1,คณะวิศวกรรมศาสตร์,วิศวกรรมการวัดคุม,"มากกว่า 30,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),เล่นเกม,ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 2,คณะวิทยาศาสตร์,เคมี,"15,001 - 20,000 บาท",การศึกษา,วาดรูป,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิศวกรรมศาสตร์,วิศวกรรมอุตสาหการ,"10,001 - 15,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),เล่นเกม,3-5วัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะเทคโนโลยีการเกษตร,เทคนิคเกษตร,"20,001 - 25,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),เล่นเกม,ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 2,คณะเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,"มากกว่า 30,000 บาท",เขียนโปรแกรม,ตัดต่อวิดิโอ,เล่นเกม,ทุกวัน,ชาย,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 2,คณะบริหารธุรกิจ,บริหารธุรกิจ,"10,001 - 15,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),วาดรูป,ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,"มากกว่า 30,000 บาท",เขียนโปรแกรม,การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ทุกวัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 1,วิทยาลัยวิศวกรรมสังคีต,วิศวกรรมดนตรีและสื่อประสม,"มากกว่า 30,000 บาท",การศึกษา,เล่นเกม,ทำเพลง,ไม่พกพาเลย,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 2,คณะเทคโนโลยีสารสนเทศ,วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ,"มากกว่า 30,000 บาท",เขียนโปรแกรม,การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ทุกวัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 1,คณะบริหารธุรกิจ,บริหารธุรกิจ,"5,001 - 10,000 บาท",การศึกษา,ตัดต่อวิดิโอ,เล่นเกม,1-2วัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 1,คณะวิศวกรรมศาสตร์,วิศวกรรมเคมี,"20,001 - 25,000 บาท",การศึกษา,เล่นเกม,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะบริหารธุรกิจ,บริหารธุรกิจ,"15,001 - 20,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ตัดต่อวิดิโอ,3-5วัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 1,คณะเทคโนโลยีการเกษตร,เทคนิคเกษตร,"5,001 - 10,000 บาท",สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),การศึกษา,ตัดต่อวิดิโอ,ไม่พกพาเลย,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 2,คณะวิทยาศาสตร์,สถิติ,"10,001 - 15,000 บาท",การศึกษา,เขียนโปรแกรม,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ทุกวัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 1,คณะบริหารธุรกิจ,บริหารธุรกิจ,"10,001 - 15,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ตัดต่อวิดิโอ,ไม่พกพาเลย,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,ชีววิทยา,"25,001 - 30,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ตัดต่อวิดิโอ,ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะเทคโนโลยีการเกษตร,เทคโนโลยีการผลิตสัตว์,"15,001 - 20,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),เล่นเกม,3-5วัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 2,คณะสถาปัตยกรรมศาสตร์,นิเทศศิลป์,"10,001 - 15,000 บาท",การศึกษา,วาดรูป,เล่นเกม,3-5วัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 4,คณะวิทยาศาสตร์,สถิติ,"20,001 - 25,000 บาท",การศึกษา,เขียนโปรแกรม,เล่นเกม,1-2วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 2,คณะบริหารธุรกิจ,บริหารธุรกิจ,"10,001 - 15,000 บาท",สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),การศึกษา,เล่นเกม,ไม่พกพาเลย,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"10,001 - 15,000 บาท",การศึกษา,วาดรูป,เล่นเกม,3-5วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"มากกว่า 30,000 บาท",เล่นเกม,การศึกษา,เขียนโปรแกรม,1-2วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี,ครุศาสตร์สถาปัตยกรรม,"25,001 - 30,000 บาท",การศึกษา,เล่นเกม,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),1-2วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"มากกว่า 30,000 บาท",สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),การศึกษา,เล่นเกม,ทุกวัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,"20,001 - 25,000 บาท",การศึกษา,"เขียนเเบบ , ออกแบบแผนผังต่าง ๆ",สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ทุกวัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 1,คณะศิลปศาสตร์,ภาษา,"15,001 - 20,000 บาท",เล่นเกม,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),การศึกษา,ทุกวัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 4,คณะวิศวกรรมศาสตร์,วิศวกรรมออกแบบการผลิตและวัสดุ,"10,001 - 15,000 บาท",การศึกษา,"เขียนเเบบ , ออกแบบแผนผังต่าง ๆ",วาดรูป,3-5วัน,ชาย,"Tablet (Ipad , Galaxy Tabs)"
